Type,Date,Location
Trans to AMR,03/03/2010,47.705344 -122.304328
Aid Response,03/03/2010,47.600823 -122.334182
Medic Response,03/03/2010,47.614431 -122.320786
Aid Response,03/03/2010,47.509084 -122.381503
Medic Response,03/03/2010,47.721116 -122.296336
Aid Response,03/03/2010,47.619808 -122.325295
Auto Fire Alarm,03/03/2010,47.638635 -122.375036
Aid Response,03/03/2010,47.661177 -122.288195
Chimney Fire,03/03/2010,47.703549 -122.368745
"Medic Response, 7 per Rule",03/03/2010,47.728211 -122.293627
Investigate Out Of Service,03/03/2010,47.54977 -122.288608
Aid Response,03/03/2010,47.506014 -122.376013
Aid Response,03/03/2010,47.681413 -122.3053
Aid Response,03/03/2010,47.613494 -122.328845
Auto Fire Alarm,03/03/2010,47.601718 -122.331581
Aid Response,03/03/2010,47.597473 -122.327675
Auto Fire Alarm,03/03/2010,47.685612 -122.336765
Aid Response,03/03/2010,47.563394 -122.3605
Aid Response,03/03/2010,47.581009 -122.312099
Medic Response,03/03/2010,47.592105 -122.317281
Aid Response,03/03/2010,47.61856 -122.344679
Aid Response Yellow,03/03/2010,47.658116 -122.33861
Aid Response,03/03/2010,47.626322 -122.348863
Aid Response,03/03/2010,47.679461 -122.322756
Auto Fire Alarm,03/03/2010,47.603698 -122.329187
Medic Response,03/03/2010,47.596676 -122.326122
Aid Response,03/03/2010,47.60434 -122.311178
Medic Response,03/03/2010,47.691034 -122.352606
Aid Response,03/03/2010,47.68694 -122.358555
Aid Response,03/03/2010,47.696359 -122.344319
Aid Response,03/03/2010,47.547633 -122.286314
Aid Response Yellow,03/03/2010,47.701614 -122.335675
Aid Response,03/03/2010,47.602165 -122.330856
Aid Response,03/03/2010,47.678231 -122.402965
Medic Response,03/03/2010,47.638567 -122.308651
Illegal Burn,03/03/2010,47.660578 -122.351007
Aid Response,03/03/2010,47.542648 -122.294755
Aid Response,03/03/2010,47.630271 -122.301648
Aid Response,03/03/2010,47.582932 -122.299038
Aid Response,03/03/2010,47.712167 -122.312433
Medic Response,03/03/2010,47.548803 -122.276968
Aid Response,03/03/2010,47.602985 -122.328535
Medic Response,03/03/2010,47.605202 -122.319413
Automatic Medical Alarm,03/03/2010,47.623423 -122.324032
Auto Fire Alarm,03/03/2010,47.611348 -122.328514
Aid Response,03/03/2010,47.524706 -122.355303
Aid Response,03/03/2010,47.708611 -122.325955
Aid Response,03/03/2010,47.600883 -122.333638
Medic Response,03/03/2010,47.601697 -122.319241
Aid Response,03/03/2010,47.602165 -122.330856
Aid Response,03/03/2010,47.674663 -122.323407
Aid Response,03/03/2010,47.57155 -122.344652
Medic Response,03/03/2010,47.674099 -122.404675
Aid Response,03/03/2010,47.61548 -122.346085
Aid Response,03/03/2010,47.65532 -122.307891
Aid Response,03/03/2010,47.523293 -122.264555
Aid Response,03/03/2010,47.625796 -122.338635
Aid Response,03/03/2010,47.668662 -122.370959
Trans to AMR,03/03/2010,47.701614 -122.335675
Aid Response,03/03/2010,47.52224 -122.319127
Unk Odor,03/03/2010,47.660529 -122.362081
Aid Response,03/03/2010,47.619827 -122.342391
Auto Fire Alarm,03/03/2010,47.70866 -122.301278
Aid Response,03/03/2010,47.658298 -122.317782
Aid Response,03/03/2010,47.694239 -122.360677
Car Fire Freeway,03/03/2010,47.542027 -122.303649
Aid Response,03/03/2010,47.554937 -122.282393
Aid Response,03/03/2010,47.639562 -122.310644
Aid Response,03/03/2010,47.610972 -122.340465
Medic Response,03/03/2010,47.610003 -122.338025
Aid Response,03/03/2010,47.69681 -122.327101
Medic Response,03/03/2010,47.623398 -122.333002
Aid Response,03/03/2010,47.669438 -122.371138
Medic Response,03/03/2010,47.595541 -122.298643
Auto Fire Alarm,03/03/2010,47.588437 -122.315855
Auto Fire Alarm,03/03/2010,47.607945 -122.328471
Aid Response,03/03/2010,47.670176 -122.379353
Automatic Medical Alarm,03/03/2010,47.563394 -122.3605
Aid Response,03/03/2010,47.612541 -122.343119
Medic Response,03/03/2010,47.606687 -122.31155
Aid Response,03/03/2010,47.619917 -122.319539
Aid Response,03/03/2010,47.678231 -122.402965
Aid Response,03/04/2010,47.60582 -122.326526
Aid Response,03/04/2010,47.716844 -122.344889
Aid Response,03/04/2010,47.605873 -122.335782
Medic Response,03/04/2010,47.548244 -122.395138
Medic Response,03/04/2010,47.624266 -122.318663
Aid Response,03/04/2010,47.676136 -122.290283
Aid Response,03/04/2010,47.523056 -122.319795
Medic Response,03/04/2010,47.60975 -122.337793
Aid Response,03/04/2010,47.613354 -122.315518
Aid Response,03/04/2010,47.663592 -122.358029
Auto Fire Alarm,03/04/2010,47.588414 -122.309467
Aid Response,03/04/2010,47.726864 -122.348004
Aid Response,03/04/2010,47.614791 -122.34494
Aid Response,03/04/2010,47.66707 -122.301946
Aid Response,03/04/2010,47.623481 -122.358024
Medic Response,03/04/2010,47.602172 -122.330863
Aid Response,03/04/2010,47.666736 -122.315215
Automatic Fire Alarm Resd,03/04/2010,47.555392 -122.295487
Medic Response,03/04/2010,47.567727 -122.300147
Aid Response,03/04/2010,47.677721 -122.276927
Aid Response,03/04/2010,47.72343 -122.348165
Auto Fire Alarm,03/04/2010,47.598292 -122.334191
Aid Response,03/04/2010,47.61427 -122.316839
Trans to AMR,03/04/2010,47.720157 -122.292729
Aid Response,03/04/2010,47.602165 -122.330856
Medic Response,03/04/2010,47.605922 -122.284566
Medic Response,03/04/2010,47.609088 -122.330457
Medic Response,03/04/2010,47.546215 -122.375056
Aid Response,03/04/2010,47.639607 -122.366289
Aid Response,03/04/2010,47.701614 -122.335675
Auto Fire Alarm,03/04/2010,47.614217 -122.347937
Aid Response,03/04/2010,47.624578 -122.355404
Aid Response,03/04/2010,47.614113 -122.31553
Automatic Fire Alarm Resd,03/04/2010,47.704861 -122.309257
Motor Vehicle Accident Freeway,03/04/2010,47.620742 -122.328647
Aid Response,03/04/2010,47.648656 -122.395641
Aid Response,03/04/2010,47.691381 -122.317611
Aid Response,03/04/2010,47.569237 -122.371433
Aid Response,03/04/2010,47.71049 -122.326004
Aid Response,03/04/2010,47.614549 -122.312651
Auto Fire Alarm,03/04/2010,47.571233 -122.291003
Auto Fire Alarm,03/04/2010,47.571233 -122.291003
Motor Vehicle Accident Freeway,03/04/2010,47.640561 -122.346435
Unk Odor,03/04/2010,47.560504 -122.268159
Motor Vehicle Accident,03/04/2010,47.564077 -122.376189
Aid Response,03/04/2010,47.590558 -122.387482
Auto Fire Alarm,03/04/2010,47.608434 -122.338125
Aid Response,03/04/2010,47.72099 -122.334176
Aid Response,03/04/2010,47.717758 -122.312622
Medic Response,03/04/2010,47.63353 -122.358503
Aid Response,03/04/2010,47.690591 -122.353878
Aid Response,03/04/2010,47.6211 -122.338463
Medic Response,03/04/2010,47.661695 -122.308374
Aid Response,03/04/2010,47.525955 -122.269983
Aid Response,03/04/2010,47.708899 -122.320568
Fire in Building,03/04/2010,47.551071 -122.313499
Medic Response,03/04/2010,47.673894 -122.335525
Aid Response,03/04/2010,47.604991 -122.333174
Aid Response,03/04/2010,47.675295 -122.35435
Unk Odor,03/04/2010,47.527313 -122.322224
Motor Vehicle Accident,03/04/2010,47.59829 -122.332886
Aid Response,03/04/2010,47.686205 -122.357705
Medic Response,03/04/2010,47.597406 -122.317228
Aid Response,03/04/2010,47.72099 -122.334176
Motor Vehicle Accident Freeway,03/04/2010,47.65722 -122.322633
Medic Response,03/04/2010,47.671705 -122.387587
Medic Response,03/04/2010,47.661475 -122.307242
Aid Response,03/04/2010,47.693001 -122.392934
Medic Response,03/04/2010,47.539106 -122.352905
Auto Fire Alarm,03/04/2010,47.611943 -122.325987
Aid Response,03/04/2010,47.614705 -122.344794
Medic Response,03/04/2010,47.599192 -122.325817
Medic Response,03/04/2010,47.617173 -122.333103
Medic Response,03/04/2010,47.588414 -122.309467
Medic Response,03/04/2010,47.724495 -122.321455
Aid Response,03/04/2010,47.66333 -122.29811
Medic Response,03/04/2010,47.661533 -122.320727
Medic Response,03/04/2010,47.600194 -122.330541
Aid Response,03/04/2010,47.603237 -122.337944
Aid Response Yellow,03/04/2010,47.714088 -122.331097
Aid Response,03/04/2010,47.703348 -122.368907
Auto Fire Alarm,03/04/2010,47.660752 -122.389931
Auto Fire Alarm,03/04/2010,47.628713 -122.330907
Motor Vehicle Accident,03/04/2010,47.719716 -122.312678
Motor Vehicle Accident,03/04/2010,47.577526 -122.297522
Medic Response,03/04/2010,47.533692 -122.360425
Auto Fire Alarm,03/04/2010,47.539446 -122.29095
Automatic Fire Alarm Resd,03/04/2010,47.615856 -122.284612
Aid Response Yellow,03/04/2010,47.690397 -122.323
Aid Response,03/04/2010,47.604413 -122.329842
Illegal Burn,03/04/2010,47.674576 -122.354041
Aid Response,03/04/2010,47.639727 -122.325891
Aid Response,03/04/2010,47.702895 -122.35078
Aid Response,03/04/2010,47.607916 -122.287098
Auto Fire Alarm,03/04/2010,47.535372 -122.315012
Medic Response,03/04/2010,47.71049 -122.326004
Aid Response,03/04/2010,47.649411 -122.348559
Medic Response,03/04/2010,47.560119 -122.385486
Aid Response,03/04/2010,47.614171 -122.320782
Medic Response,03/04/2010,47.714171 -122.305799
Auto Fire Alarm,03/04/2010,47.588437 -122.315855
Auto Fire Alarm,03/04/2010,47.606208 -122.31915
Aid Response,03/04/2010,47.659579 -122.346689
Motor Vehicle Accident,03/04/2010,47.570191 -122.386767
Aid Response,03/04/2010,47.531393 -122.271796
Medic Response,03/04/2010,47.587768 -122.313783
Medic Response,03/04/2010,47.674317 -122.290258
Aid Response,03/04/2010,47.535916 -122.27502
Medic Response,03/04/2010,47.555883 -122.30039
Aid Response,03/04/2010,47.542467 -122.274661
Medic Response,03/04/2010,47.518178 -122.367277
Aid Response,03/04/2010,47.690681 -122.344523
Aid Response,03/04/2010,47.719292 -122.297765
Aid Response,03/04/2010,47.573699 -122.329991
Aid Response,03/04/2010,47.611672 -122.336484
Medic Response,03/04/2010,47.683246 -122.325593
Automatic Fire Alarm Resd,03/04/2010,47.635027 -122.318668
Aid Response,03/04/2010,47.602172 -122.330863
Aid Response,03/04/2010,47.604358 -122.318105
Aid Response,03/04/2010,47.593317 -122.297479
Alarm Bell,03/04/2010,47.573124 -122.37816
Medic Response,03/04/2010,47.567858 -122.398816
Medic Response,03/04/2010,47.65414 -122.349905
Medic Response,03/04/2010,47.622141 -122.311356
Medic Response,03/04/2010,47.704187 -122.323161
Aid Response,03/04/2010,47.61762 -122.310139
Aid Response Yellow,03/04/2010,47.699557 -122.275288
Aid Response,03/04/2010,47.614888 -122.347087
Aid Response,03/04/2010,47.721116 -122.296336
Aid Response,03/04/2010,47.60739 -122.332564
Aid Response Yellow,03/04/2010,47.665852 -122.301917
Aid Response,03/04/2010,47.663274 -122.313099
Aid Response,03/04/2010,47.680931 -122.400019
Auto Fire Alarm,03/04/2010,47.609673 -122.342238
Trans to AMR,03/04/2010,47.610972 -122.340465
Aid Response,03/04/2010,47.613559 -122.348806
Medic Response,03/04/2010,47.674871 -122.311923
Aid Response,03/04/2010,47.661626 -122.286532
Aid Response,03/04/2010,47.601667 -122.302339
Medic Response,03/04/2010,47.558655 -122.285241
Aid Response,03/04/2010,47.658634 -122.304247
Aid Response,03/04/2010,47.73413 -122.355571
Motor Vehicle Accident,03/04/2010,47.507991 -122.278367
Medic Response,03/04/2010,47.506583 -122.270133
Illegal Burn,03/04/2010,47.695814 -122.314623
Aid Response,03/04/2010,47.69429 -122.35534
Rubbish Fire,03/04/2010,47.562866 -122.386775
Aid Response,03/04/2010,47.67834 -122.32895
Auto Fire Alarm,03/04/2010,47.616815 -122.311453
Medic Response,03/04/2010,47.541489 -122.387745
Aid Response,03/04/2010,47.623391 -122.314649
Medic Response,03/04/2010,47.615789 -122.336507
Aid Response,03/04/2010,47.569958 -122.307785
Medic Response,03/04/2010,47.701756 -122.335022
Motor Vehicle Accident Freeway,03/04/2010,47.57679 -122.319476
Auto Fire Alarm,03/04/2010,47.540719 -122.337155
Aid Response,03/04/2010,47.615254 -122.318159
Medic Response,03/04/2010,47.600871 -122.326354
Aid Response,03/04/2010,47.698458 -122.372745
Aid Response,03/04/2010,47.615219 -122.325529
Aid Response,03/04/2010,47.66707 -122.301946
Aid Response,03/04/2010,47.7229 -122.29573
Aid Response,03/04/2010,47.600878 -122.319366
Medic Response,03/04/2010,47.602165 -122.330856
Aid Response,03/04/2010,47.546057 -122.285631
Aid Response,03/04/2010,47.582838 -122.386485
"Medic Response, 7 per Rule",03/04/2010,47.69429 -122.35534
Aid Response,03/04/2010,47.606835 -122.338197
Motor Vehicle Accident,03/04/2010,47.559277 -122.376232
Medic Response,03/04/2010,47.635881 -122.388236
Medic Response,03/04/2010,47.723323 -122.28861
Trans to AMR,03/04/2010,47.541441 -122.272083
Aid Response,03/04/2010,47.616618 -122.348031
Medic Response,03/04/2010,47.521595 -122.264225
Medic Response,03/04/2010,47.610193 -122.342138
Aid Response,03/04/2010,47.65996 -122.342217
Motor Vehicle Accident,03/04/2010,47.666139 -122.2848
Aid Response,03/04/2010,47.615377 -122.343947
Aid Response,03/04/2010,47.613727 -122.339174
Illegal Burn,03/04/2010,47.636552 -122.345909
Medic Response,03/04/2010,47.58914 -122.307318
Aid Response Freeway,03/04/2010,47.587138 -122.320156
Motor Vehicle Accident,03/04/2010,47.701364 -122.328502
Aid Response,03/04/2010,47.661695 -122.308374
Aid Response,03/04/2010,47.609437 -122.339043
Aid Response Yellow,03/04/2010,47.555232 -122.378934
Aid Response,03/04/2010,47.723436 -122.355547
Aid Response,03/04/2010,47.604548 -122.33457
Medic Response,03/04/2010,47.690597 -122.320309
Aid Response,03/04/2010,47.723212 -122.344977
Aid Response,03/04/2010,47.602758 -122.322197
3RED - 1 +1 + 1,03/04/2010,47.605387 -122.327511
Motor Vehicle Accident Freeway,03/04/2010,47.559045 -122.321742
Medic Response,03/04/2010,47.614715 -122.350761
Aid Response,03/04/2010,47.626301 -122.356646
Medic Response,03/04/2010,47.676136 -122.290283
Aid Response,03/04/2010,47.61145 -122.331546
Rescue Elevator,03/04/2010,47.72343 -122.348165
Rescue Elevator,03/04/2010,,
Medic Response,03/04/2010,47.518457 -122.367275
Motor Vehicle Accident Freeway,03/04/2010,47.640356 -122.259147
Investigate Out Of Service,03/04/2010,47.577518 -122.298263
Aid Response,03/04/2010,47.638013 -122.370325
Aid Response,03/04/2010,47.708602 -122.324588
"Medic Response, 7 per Rule",03/04/2010,47.572919 -122.294006
Aid Response,03/04/2010,47.608928 -122.337043
Medic Response,03/04/2010,47.708174 -122.335079
Auto Fire Alarm,03/04/2010,47.601718 -122.331581
Auto Fire Alarm,03/04/2010,47.661555 -122.278344
Medic Response,03/04/2010,47.545745 -122.365636
Auto Fire Alarm,03/04/2010,47.611653 -122.339632
Aid Response Yellow,03/04/2010,47.567858 -122.398816
Medic Response,03/04/2010,47.650353 -122.374894
Auto Fire Alarm,03/04/2010,47.690519 -122.33644
Medic Response,03/04/2010,47.605624 -122.334019
Aid Response,03/04/2010,47.614104 -122.316836
Motor Vehicle Accident,03/04/2010,47.601612 -122.302294
Aid Response Yellow,03/04/2010,47.62044 -122.291204
Aid Response,03/04/2010,47.723244 -122.357555
Aid Response,03/04/2010,47.620716 -122.347603
Aid Response,03/04/2010,47.616886 -122.327286
Aid Response Yellow,03/04/2010,47.679366 -122.263619
Motor Vehicle Accident,03/04/2010,47.600853 -122.316965
Aid Response,03/04/2010,47.651033 -122.350703
Aid Response,03/04/2010,47.604197 -122.332714
Aid Response,03/04/2010,47.617141 -122.352885
Medic Response,03/04/2010,47.518723 -122.363215
Automatic Fire Alarm Resd,03/04/2010,47.679408 -122.311906
Aid Response,03/04/2010,47.599195 -122.327667
Dumpster Fire,03/05/2010,47.604662 -122.331604
Aid Response,03/05/2010,47.709488 -122.323301
Medic Response,03/05/2010,47.699872 -122.324247
Automatic Fire Alarm Resd,03/05/2010,47.729528 -122.368774
Aid Response,03/05/2010,47.663318 -122.30398
Aid Response,03/05/2010,47.580917 -122.385184
Automatic Fire Alarm Resd,03/05/2010,47.666456 -122.32803
Medic Response,03/05/2010,47.637416 -122.355598
Rescue Elevator,03/05/2010,47.712167 -122.312433
Aid Response,03/05/2010,47.682156 -122.3444
Aid Response,03/05/2010,47.6029 -122.331529
Aid Response,03/05/2010,47.662937 -122.3686
Medic Response,03/05/2010,47.698223 -122.355381
Aid Response,03/05/2010,47.589949 -122.315987
Aid Response,03/05/2010,47.60739 -122.332564
Alarm Bell,03/05/2010,47.602389 -122.294931
Aid Response,03/05/2010,47.612578 -122.341197
Medic Response,03/05/2010,47.614673 -122.338792
Aid Response,03/05/2010,47.685154 -122.389777
Aid Response,03/05/2010,47.531543 -122.283257
3RED - 1 +1 + 1,03/05/2010,47.601822 -122.295986
Aid Response,03/05/2010,47.643616 -122.325886
Aid Response Yellow,03/05/2010,47.712167 -122.312433
Medic Response,03/05/2010,47.534075 -122.347337
Medic Response,03/05/2010,47.524758 -122.38309
Aid Response,03/05/2010,47.72686 -122.345017
Aid Response Yellow,03/05/2010,47.712167 -122.312433
Medic Response,03/05/2010,47.539419 -122.390816
Aid Response,03/05/2010,47.6104 -122.318052
Aid Response,03/05/2010,47.611773 -122.327366
Aid Response,03/05/2010,47.667143 -122.35442
Aid Response,03/05/2010,47.557884 -122.310031
Medic Response,03/05/2010,47.518178 -122.367277
Aid Response,03/05/2010,47.590524 -122.388901
Aid Response,03/05/2010,47.726018 -122.355553
Natural Gas Odor,03/05/2010,47.728521 -122.370983
Medic Response,03/05/2010,47.618412 -122.355206
Auto Fire Alarm,03/05/2010,47.663032 -122.330149
Aid Response,03/05/2010,47.549704 -122.277135
Medic Response,03/05/2010,47.666535 -122.36329
Aid Response,03/05/2010,47.661942 -122.272479
Aid Response,03/05/2010,47.613258 -122.320767
Aid Response,03/05/2010,47.607763 -122.335976
Aid Response,03/05/2010,47.600194 -122.330541
"Medic Response, 7 per Rule",03/05/2010,47.612745 -122.343464
Medic Response,03/05/2010,47.601716 -122.330265
Aid Response,03/05/2010,47.608665 -122.329131
Aid Response,03/05/2010,47.67224 -122.286898
Aid Response,03/05/2010,47.542487 -122.268871
Motor Vehicle Accident Freeway,03/05/2010,47.619715 -122.329135
Aid Response Yellow,03/05/2010,47.549959 -122.377687
Aid Response Yellow,03/05/2010,47.503178 -122.386062
Aid Response,03/05/2010,47.552019 -122.357078
Automatic Fire Alarm False,03/05/2010,47.623222 -122.333001
Aid Response,03/05/2010,47.657431 -122.347416
Medic Response,03/05/2010,47.602985 -122.328535
Auto Fire Alarm,03/05/2010,47.537112 -122.302612
Aid Response,03/05/2010,47.612963 -122.320762
Aid Response,03/05/2010,47.674094 -122.293258
Medic Response,03/05/2010,47.575283 -122.329059
Aid Response,03/05/2010,47.622327 -122.338454
Aid Response,03/05/2010,47.558988 -122.376234
Aid Response,03/05/2010,47.613037 -122.326981
Aid Response,03/05/2010,47.608051 -122.339309
Auto Fire Alarm,03/05/2010,47.599902 -122.325052
Aid Response,03/05/2010,47.703536 -122.374085
Aid Response,03/05/2010,47.619041 -122.348899
Medic Response,03/05/2010,47.618002 -122.329183
Medic Response,03/05/2010,47.663957 -122.380311
Aid Response,03/05/2010,47.548758 -122.357102
Aid Response,03/05/2010,47.717604 -122.280558
Medic Response,03/05/2010,47.602985 -122.328535
Auto Fire Alarm,03/05/2010,47.524444 -122.364527
Electrical Problem,03/05/2010,47.699569 -122.275288
Medic Response,03/05/2010,47.693028 -122.306419
Aid Response,03/05/2010,47.684993 -122.306733
Aid Response,03/05/2010,47.635355 -122.345922
Medic Response,03/05/2010,47.602985 -122.328535
Aid Response,03/05/2010,47.602985 -122.328535
